ship	leg	departure	arrival	startx	starty	destinationx	destinationy
87	1	1805	1805	800	-400	774	416
88	1	1805	1805	800	-450	774	416
89	1	1805	1805	800	-500	774	416
90	1	1805	1805	800	-550	774	416
91	1	1805	1805	800	-600	774	416
92	1	1805	1805	800	-650	774	416
93	1	1805	1805	800	-700	774	416
94	1	1805	1805	800	-750	774	416
95	1	1805	1805	800	-800	774	416
96	1	1805	1805	800	-850	774	416
97	1	1805	1805	800	-900	774	416
98	1	1805	1805	800	-950	774	416
99	1	1805	1805	800	-1000	774	416
100	1	1805	1805	800	-1050	774	416
101	1	1805	1805	800	-1100	774	416
102	1	1805	1805	800	-1150	774	416
103	1	1806	1806	800	-100	774	416
104	1	1806	1806	800	-150	774	416
105	1	1806	1806	800	-200	774	416
106	1	1806	1806	800	-250	774	416
107	1	1806	1806	800	-300	774	416
108	1	1807	1807	800	-100	774	416
109	1	1807	1807	800	-150	774	416
110	1	1808	1808	800	-100	774	416
111	1	1808	1808	800	-150	774	416
112	1	1820	1820	800	-100	774	416
113	1	1820	1820	800	-150	774	416
114	1	1822	1822	800	-100	774	416
115	1	1824	1824	800	-100	774	416
116	1	1824	1824	800	-150	774	416
117	1	1825	1825	800	-100	774	416
118	1	1798	1798	500	-100	398	370
119	1	1799	1799	500	-100	398	370
120	1	1801	1801	500	-100	398	370
121	1	1801	1801	500	-150	398	370
122	1	1803	1803	500	-100	398	370
123	1	1805	1805	500	-100	398	370
124	1	1806	1806	500	-100	398	370
125	1	1806	1806	500	-150	398	370
126	1	1806	1806	500	-200	398	370
127	1	1807	1807	500	-100	398	370
128	1	1808	1808	500	-100	398	370
129	1	1808	1808	500	-150	398	370
130	1	1796	1796	400	-100	304	314
131	1	1796	1796	400	-150	304	314
132	1	1796	1796	400	-200	304	314
133	1	1796	1796	400	-250	304	314
134	1	1796	1796	400	-300	304	314
135	1	1796	1796	400	-350	304	314
136	1	1796	1796	400	-400	304	314
137	1	1796	1796	400	-450	304	314
138	1	1797	1797	400	-100	304	314
139	1	1797	1797	400	-150	304	314
140	1	1797	1797	400	-200	304	314
141	1	1797	1797	400	-250	304	314
142	1	1797	1797	400	-300	304	314
143	1	1797	1797	400	-350	304	314
144	1	1797	1797	400	-400	304	314
145	1	1797	1797	400	-450	304	314
146	1	1797	1797	400	-500	304	314
147	1	1797	1797	400	-550	304	314
148	1	1797	1797	400	-600	304	314
149	1	1797	1797	400	-650	304	314
150	1	1797	1797	400	-700	304	314
151	1	1797	1797	400	-750	304	314
152	1	1797	1797	400	-800	304	314
153	1	1797	1797	400	-850	304	314
154	1	1797	1797	400	-900	304	314
155	1	1797	1797	400	-950	304	314
156	1	1797	1797	400	-1000	304	314
157	1	1798	1798	400	-100	304	314
158	1	1798	1798	400	-150	304	314
159	1	1798	1798	400	-200	304	314
160	1	1798	1798	400	-250	304	314
161	1	1798	1798	400	-300	304	314
162	1	1798	1798	400	-350	304	314
163	1	1798	1798	400	-400	304	314
164	1	1798	1798	400	-450	304	314
165	1	1798	1798	400	-500	304	314
166	1	1798	1798	400	-550	304	314
167	1	1798	1798	400	-600	304	314
168	1	1798	1798	400	-650	304	314
169	1	1798	1798	400	-700	304	314
170	1	1798	1798	400	-750	304	314
171	1	1798	1798	400	-800	304	314
172	1	1798	1798	400	-850	304	314
173	1	1798	1798	400	-900	304	314
174	1	1798	1798	400	-1000	304	314
175	1	1798	1798	420	-100	304	314
176	1	1798	1798	420	-150	304	314
177	1	1798	1798	420	-200	304	314
178	1	1798	1798	420	-250	304	314
179	1	1798	1798	420	-300	304	314
180	1	1798	1798	420	-350	304	314
181	1	1798	1798	420	-400	304	314
182	1	1798	1798	420	-450	304	314
183	1	1798	1798	420	-500	304	314
184	1	1798	1798	420	-550	304	314
185	1	1799	1799	400	-100	304	314
186	1	1799	1799	400	-150	304	314
187	1	1799	1799	400	-200	304	314
188	1	1799	1799	400	-250	304	314
189	1	1799	1799	400	-300	304	314
190	1	1799	1799	400	-350	304	314
191	1	1799	1799	400	-400	304	314
192	1	1799	1799	400	-450	304	314
193	1	1799	1799	400	-500	304	314
194	1	1799	1799	400	-550	304	314
195	1	1799	1799	400	-600	304	314
196	1	1799	1799	400	-650	304	314
197	1	1799	1799	400	-700	304	314
198	1	1799	1799	400	-750	304	314
199	1	1799	1799	400	-800	304	314
200	1	1799	1799	400	-850	304	314
201	1	1799	1799	400	-900	304	314
202	1	1799	1799	400	-950	304	314
203	1	1799	1799	400	-1000	304	314
204	1	1799	1799	400	-1050	304	314
205	1	1800	1800	400	-100	304	314
206	1	1800	1800	400	-150	304	314
207	1	1800	1800	400	-200	304	314
208	1	1800	1800	400	-250	304	314
209	1	1800	1800	400	-300	304	314
210	1	1800	1800	400	-350	304	314
211	1	1800	1800	400	-400	304	314
212	1	1800	1800	400	-450	304	314
213	1	1800	1800	400	-500	304	314
214	1	1800	1800	400	-550	304	314
215	1	1800	1800	400	-600	304	314
216	1	1800	1800	400	-650	304	314
217	1	1800	1800	400	-700	304	314
218	1	1800	1800	400	-750	304	314
219	1	1800	1800	400	-800	304	314
220	1	1800	1800	400	-850	304	314
221	1	1800	1800	400	-900	304	314
222	1	1800	1800	400	-950	304	314
223	1	1800	1800	400	-1000	304	314
224	1	1800	1800	420	-100	304	314
225	1	1800	1800	420	-150	304	314
226	1	1800	1800	420	-200	304	314
227	1	1800	1800	420	-250	304	314
228	1	1800	1800	420	-300	304	314
229	1	1800	1800	420	-350	304	314
230	1	1800	1800	420	-400	304	314
231	1	1801	1801	400	-100	304	314
232	1	1801	1801	400	-150	304	314
233	1	1801	1801	400	-200	304	314
234	1	1801	1801	400	-250	304	314
235	1	1801	1801	400	-300	304	314
236	1	1801	1801	400	-350	304	314
237	1	1801	1801	400	-400	304	314
238	1	1801	1801	400	-450	304	314
239	1	1801	1801	400	-500	304	314
240	1	1801	1801	400	-550	304	314
241	1	1801	1801	400	-600	304	314
242	1	1801	1801	400	-650	304	314
243	1	1801	1801	400	-700	304	314
244	1	1801	1801	400	-750	304	314
245	1	1801	1801	400	-800	304	314
246	1	1801	1801	400	-850	304	314
247	1	1801	1801	400	-900	304	314
248	1	1801	1801	400	-950	304	314
249	1	1801	1801	400	-1000	304	314
250	1	1801	1801	420	-100	304	314
251	1	1801	1801	420	-150	304	314
252	1	1801	1801	420	-200	304	314
253	1	1801	1801	420	-250	304	314
254	1	1801	1801	420	-300	304	314
255	1	1801	1801	420	-350	304	314
256	1	1801	1801	420	-400	304	314
257	1	1801	1801	420	-450	304	314
258	1	1801	1801	420	-500	304	314
259	1	1801	1801	420	-550	304	314
260	1	1801	1801	420	-600	304	314
261	1	1801	1801	420	-650	304	314
262	1	1801	1801	420	-700	304	314
263	1	1801	1801	420	-750	304	314
264	1	1801	1801	420	-800	304	314
265	1	1801	1801	420	-900	304	314
266	1	1801	1801	420	-950	304	314
267	1	1801	1801	420	-1000	304	314
268	1	1801	1801	380	-100	304	314
269	1	1801	1801	380	-150	304	314
270	1	1801	1801	380	-200	304	314
271	1	1801	1801	380	-250	304	314
272	1	1801	1801	380	-300	304	314
273	1	1801	1801	380	-350	304	314
274	1	1801	1801	380	-400	304	314
275	1	1801	1801	380	-450	304	314
276	1	1801	1801	380	-500	304	314
277	1	1801	1801	380	-550	304	314
278	1	1801	1801	380	-600	304	314
279	1	1801	1801	380	-650	304	314
280	1	1801	1801	380	-700	304	314
281	1	1801	1801	380	-750	304	314
282	1	1801	1801	380	-800	304	314
283	1	1802	1802	400	-100	304	314
284	1	1802	1802	400	-150	304	314
285	1	1802	1802	400	-200	304	314
286	1	1802	1802	400	-250	304	314
287	1	1802	1802	400	-300	304	314
288	1	1802	1802	400	-350	304	314
289	1	1802	1802	400	-400	304	314
290	1	1802	1802	400	-450	304	314
291	1	1802	1802	400	-500	304	314
292	1	1802	1802	400	-550	304	314
293	1	1802	1802	400	-600	304	314
294	1	1802	1802	400	-650	304	314
295	1	1802	1802	400	-700	304	314
296	1	1802	1802	400	-750	304	314
297	1	1802	1802	400	-800	304	314
298	1	1802	1802	400	-850	304	314
299	1	1802	1802	400	-900	304	314
300	1	1802	1802	400	-950	304	314
301	1	1802	1802	400	-1000	304	314
302	1	1802	1802	420	-100	304	314
303	1	1802	1802	420	-150	304	314
304	1	1802	1802	420	-200	304	314
305	1	1802	1802	420	-250	304	314
306	1	1802	1802	420	-300	304	314
307	1	1803	1803	400	-100	304	314
308	1	1803	1803	400	-150	304	314
309	1	1803	1803	400	-200	304	314
310	1	1803	1803	400	-250	304	314
311	1	1803	1803	400	-300	304	314
312	1	1803	1803	400	-350	304	314
313	1	1803	1803	400	-400	304	314
314	1	1803	1803	400	-450	304	314
315	1	1803	1803	400	-500	304	314
316	1	1803	1803	400	-550	304	314
317	1	1803	1803	400	-600	304	314
318	1	1803	1803	400	-650	304	314
319	1	1803	1803	400	-700	304	314
320	1	1803	1803	400	-750	304	314
321	1	1803	1803	400	-800	304	314
322	1	1803	1803	400	-850	304	314
323	1	1803	1803	400	-900	304	314
324	1	1803	1803	400	-950	304	314
325	1	1804	1804	400	-100	304	314
326	1	1804	1804	400	-150	304	314
327	1	1804	1804	400	-200	304	314
328	1	1804	1804	400	-250	304	314
329	1	1804	1804	400	-300	304	314
330	1	1804	1804	400	-350	304	314
331	1	1804	1804	400	-400	304	314
332	1	1804	1804	400	-450	304	314
333	1	1804	1804	400	-500	304	314
334	1	1804	1804	400	-550	304	314
335	1	1804	1804	400	-600	304	314
336	1	1804	1804	400	-650	304	314
337	1	1804	1804	400	-700	304	314
338	1	1804	1804	400	-750	304	314
339	1	1804	1804	400	-800	304	314
340	1	1804	1804	400	-900	304	314
341	1	1804	1804	400	-950	304	314
342	1	1805	1805	400	-100	304	314
343	1	1805	1805	400	-150	304	314
344	1	1805	1805	400	-200	304	314
345	1	1805	1805	400	-250	304	314
346	1	1805	1805	400	-300	304	314
347	1	1805	1805	400	-350	304	314
348	1	1805	1805	400	-400	304	314
349	1	1805	1805	400	-450	304	314
350	1	1805	1805	400	-500	304	314
351	1	1805	1805	400	-550	304	314
352	1	1805	1805	400	-600	304	314
353	1	1805	1805	400	-650	304	314
354	1	1805	1805	400	-700	304	314
355	1	1805	1805	400	-750	304	314
356	1	1805	1805	400	-800	304	314
357	1	1805	1805	400	-850	304	314
358	1	1805	1805	400	-900	304	314
359	1	1805	1805	400	-950	304	314
360	1	1805	1805	400	-1000	304	314
361	1	1805	1805	420	-100	304	314
362	1	1805	1805	420	-150	304	314
363	1	1805	1805	420	-200	304	314
364	1	1805	1805	420	-250	304	314
365	1	1805	1805	420	-300	304	314
366	1	1805	1805	420	-350	304	314
367	1	1806	1806	400	-100	304	314
368	1	1806	1806	400	-150	304	314
369	1	1806	1806	400	-200	304	314
370	1	1806	1806	400	-250	304	314
371	1	1806	1806	400	-300	304	314
372	1	1806	1806	400	-350	304	314
373	1	1806	1806	400	-400	304	314
374	1	1806	1806	400	-450	304	314
375	1	1806	1806	400	-500	304	314
376	1	1807	1807	400	-100	304	314
377	1	1807	1807	400	-150	304	314
378	1	1807	1807	400	-200	304	314
379	1	1807	1807	400	-250	304	314
380	1	1807	1807	400	-300	304	314
381	1	1807	1807	400	-350	304	314
382	1	1807	1807	400	-400	304	314
383	1	1807	1807	400	-450	304	314
384	1	1808	1808	400	-100	304	314
385	1	1808	1808	400	-150	304	314
386	1	1808	1808	400	-200	304	314
387	1	1808	1808	400	-250	304	314
388	1	1808	1808	400	-300	304	314
